ngram
attendance алып
class день
normal стрёма
sdu ангим
sdu ангма
автор пост
адам керека
адд дроп
админ выложить
админ пропустить
анау мынау
близкий друг
бола керека
болып тұр
бывать такой
ваш любимый
ваш почта
велкома пати
весь привет
всё ещё
всё равно
всё это
второй курс
второй семестр
говорить это
год 900
год назад
дать инст
дать совет
двоюродный брат
девушка который
девушка нравиться
девушка очень
девушка парень
девушка такой
девушка хотеть
девушка это
делать вид
делать первый
делать хотеть
делать это
день рождение
дропнуть предмет
друг друг
друг который
другой парень
другой человек
думать стоить
думать это
знать делать
знать какой
знать кто
знать такой
знать это
идти нахуй
искать девушка
каждый день
каждый пост
какой либо
какой хуй
керека еді
керека емес
который говорить
который делать
который мочь
который нравиться
который общаться
который писать
который хотеть
красивый девушка
месяц назад
мой друг
мой жизнь
мой сторона
мочь найти
мочь написать
мочь пожалуйста
мочь понять
мочь посоветовать
мочь сказать
мочь это
мужской пол
найти девушка
найти друг
найти парень
найти работа
начать встречаться
начать общаться
никак мочь
новый год
нравиться парень
нравиться человек
общаться девушка
общаться один
общаться один парень
общаться парень
один девушка
один парень
один сторона
очень красивый
очень любить
очень нравиться
очень сильно
очень хотеть
парень девушка
парень который
парень нравиться
парень рост
парень хотеть
первый курс
первый семестр
первый шаг
перестать общаться
писать user
писать это
поделиться свой
подруга который
подсказать пожалуйста
подходить знакомиться
помочь пожалуйста
понимать это
последний время
посоветовать пожалуйста
посоветовать хороший
почему sdu
почему человек
привет весь
привет это
признаться любовь
проводить время
просто мочь
просто хотеть
просто хотеться
противоположный пол
прошлый год
рассказать свой
ред флаг
сам дело
сам написать
самый хороший
сатып алам
свой время
свой друг
свой жизнь
свой парень
свой проблема
сделать это
сей пора
сильно хотеть
сказать хотеть
сказать это
сколько год
следующий год
следующий семестр
смочь найти
соц сеть
такой ощущение
такой ситуация
такой человек
такой чувство
тот пора
третий курс
туда сюда
ходить зал
хороший друг
хотеть купить
хотеть найти
хотеть общаться
хотеть отношение
хотеть поделиться
хотеть познакомиться
хотеть пойти
хотеть попробовать
хотеть признаться
хотеть просто
хотеть сделать
хотеть сказать
хотеть спросить
хотеть узнать
чел который
человек который
человек просто
человек это
это normal
это вообще
это время
это делать
это значит
это мой
это норма
это нормально
это очень
это пиздец
это правда
это просто
это самый
это такой
это человек
қалай болада
қашан түседі
