message_clean,suggestion,llm_category,responsible_dept,virality_score
Легенды sdu давайте навалим шума своими историями или вопросами. А то контента мало в сду!!!,больше историй и вопросов,other,,220.6
"го в майн ребят, кто возьмет инициативу admin: Я могу забашлять за хост и все настройки",взять инициативу и оплатить хост,other,,126.2
"Где конкурс админ?! admin: будет, пока думаю что сделать идеи пишите в коммы",пишите идеи в комменты,admin,Административный отдел,149.4
"хотела today познакомиться и найти друзей, но так стеснялась что так и не подошла ни к кому на жаса фесте, если увидите девушку которая гуляет одна, подходите знакомиться, так как она мб просто стесняется так же как я)",подойти и познакомиться,relationships,,162.2
"А когда вы через чат передаете эмоции(независимо какие), то как вы его преподносите? Думаете ли вы что подумает человек и с обратной стороны, уточняете ли вы сами поняли ли вы правильно или нет",уточнять понимание эмоций,relationships,,66.2
"Если буду устраивать мини игры по всему унику, есть ли те кто в этом будут участвовать? Мини игры это когда я буду мэйби квесты делать с загадками или что то в этом роде. Идея хорошая или нет? Жду мнение",проведение мини игр,events,,125.0
"Слушай я понимаю что у женщин реально тяжёлая история и рабство и унижения и дискриминация это всё факт. Но, если мы будем вечно смотреть только назад и оправдывать нынешние оскорбления зеркалкой, то мы так и останемся в этом тупике. Оскорбления не лечат старые раны они только создают новые. Нельзя бороться за равенство унижая в ответ это замкнутый круг где никто не выигрывает. То что женщины раньше терпели это трагедия но это не повод сейчас делать всё наоборот и повторять ту же ошибку. Мы должны реально расти как общество а не играть в вечную месть. В чем смысл продолжать этот круг? Если не мы порвем данный замкнутый круг, то кто?",перестать оправдывать оскорбления,mental_health,,257.4
"Люди которые стоят в 3-х километровой очереди сдать флюру, дорогие друзья, всё может быть намного легче и быстрее Барибаева улица, 67а Просто поезжайте сюда, в клинику брант, там абсолютно нет очереди, за 1200 тенге и 7 минут вашего времени вы получите флюру. Люди часами стоят в очереди, когда за пол часа можно сделать до без нервотрепки. Enjoy ✌️",ехать в клинику Брант,other,,427.0
"239 подписок за 3 дня, такому активу позавидуешь admin: это реально тяжко оказывается. Плиз, делитесь с друзьями этим каналом, там в чатах кидайте не знаю, чем больше людей тем больше контента. По идеи важно иметь источник где публикуются разные новости, идеи, осеки/вопросы",делиться каналом с друзьями,admin,,140.4
Самый лучший способ чтобы все узнали про эту группу - повесить кю ар код около кантина admin: кто хочет занятся этим? ракметын берем. А фотку сам сделаю,повесить QR-код,events,Административный отдел,164.0
