message_clean,llm_category,responsible_dept,pain_point,sentiment_label,virality_score
"СУКА, БУДЬ ПРОКЛЯТ ЭТОТ СДУ!!! ИЗ-ЗА НИХ Я ОСТАЛАСЬ НА 5 ГОД!! А СЕЙЧАС ХОТЯТ ОСТАВИТЬ НА 6 ГОД!! ОНИ МНЕ ТУРКИШ 2 ОТКАЗЫВАЮТСЯ ДОБАВЛЯТЬ КВОТУ!!! ОЛНДЕР СУКА!!!",admin,Деканат,оставляют на дополнительные годы,positive,1266.8
КАКОГО ХУЯ ГОВНО В РАКОВИНЕ?? ВЫ ЧЕ ЕБНУЛИСЬ. СУКА ШЕШЕЛЕРЫНМЕН ЖАСТЫ АДАМ СОНЫ ТАЗАЛАЙМА КАЗЫР ДАЛБАЕБТАР БЛЯ? СОЛ БОКТЫ АЛЫП ШЕШЕЛЕРЫНЕ ЖЕГЫЗУ КЕРЕК СЕНДЕРДЫН,dorms,Общежитие,грязная раковина,negative,1175.4
"Впизду этого ебанутого сайта, дофига айтишниктарды окытад ретейкке калдырып, истетпейма сайтты",infrastructure,IT департамент,не работает сайт,negative,1006.0
Осы бала туралы инфо керек срочно??!!??!!,other,,,positive,944.6
землетрясение ура мы умрем,other,,угроза жизни,positive,928.4
"Жаман шаршап кеттім өмірден, айтар ешкімім жок. Жылайын десем жылай алмаймын, бір студенттік өмір дегеннің не екенін көре алмайтын сияқтымын шіркін. Мен уйдің ең үлкенімін, осы жақында анама рак легких деген диагноз койды. Өмірім 360 градуска айналып кетті. Өзімнен кейін тагы 4 бауыр, сіңілдерім бар. Қазіргі уақытта анам енді ем алып жатыр, бірақ жазылып кету шансы аз. Өзім осыган дейін 1 курста сабақ оқимын, повышкага шыгамын деп журген адам едім, казир летога калмасам болды деп журмін. Өзім екі жұмысқа тұрдым, жағдайымыз негізі нашар емес, просто ата анадан сурамайын деген ниетпен жұмыс жасап жүрмін. Онымен қоса папаны жұмыстан шығарып жіберді енді, жұмыс іздеп жүр бірақ пока без результатно. Өмірім тыыым қиындап кеткендей. Бүкіл жауапкершілікті өзімнің мойнымда котеріп жаман шаршап кеттім, меннен кейінгілер еще садикте, мектепте окид. Күн сайын солардын сабагына карап, тамак жасап күніге, киімжерін дайындап уй жинап жалыгып кетемін. Не істерімді білмим, өмірдің мәнін жогалткандаймын. Осынвң барі ішімде қалып калды, біреуге айтайын десем уйдің тірлігін істеп, жұмыс істеп, универде ешкіммен араласып та улгермедім. Қыз болган сон тым эмоциональныймын ба, сондықтан ба жаман ойлар мазалап жургені білмим",mental_health,,личные проблемы,negative,911.2
Даже гей порноский сайт лучше работает чем эту хуйню,infrastructure,IT департамент,низкое качество работы,negative,890.2
блять откройте ебучий муддл сука заебала эта шарага дырявая,infrastructure,IT департамент,недоступность муддл,negative,887.2
"знакомый попал в реанимацию в каскелене, urgent нужна кровь до 13:00🥹(любого типа) Облыстық қан орталығы. Мекен-жайы: Қаскелен ауылы, Абылайхан көшесі, 42. Жұмыс кестесі дүйсенбіден жұмаға дейін сағат 08:00-13:00. Науқас облыстық ауруханада терапия бөлімшесінде жатыр Нурпеисов Е.А. 19.08.1979 ж. т.",other,,необходимость крови срочно,positive,885.4
"Девочки, осторожнее возле Емел маркет двое конченных мужчин стоят. С подругой проходили мимо. Спросили как называется university и как дойти до какой то остановки. Мы ответили, что не знаем такую и ушли. После, оказывается один из них побежал за нами и обнял нас, прилипал и не отставал. Какой же он был мерзкий. Спасибо большое парням, которые отвели их. Так быстро среагировали, хоть даже были по ту сторору дороги. Очень благодарны им. В панике никак даже не успела отреагировать. Қыздар, абай болындар",mental_health,Служба безопасности,домогательства на улице,pending_llm,879.0
"мошенники Только что курьер якобы с kaspi.kz звонит на ватсап 🚩 (они звонят только с приложения каспи) и говорит, что в течении часа привезёт вашу посылку (реально я заказывал и на днях должны привести товар с каспи - то есть кто-то изнутри знает, что вы заказали товар) Он просит меня подсказать номер заказа, чтобы якобы забрать мою посылку со склада 🚩 (они всегда сами забирают товар) Просят продиктовать код который пришел сообщением от 1cb.kz 🚩 (Код приходит только на каспи и говорить нужно его только курьеру из каспи ПОСЛЕ того как получили на руки товар) Будьте осторожны",other,Служба безопасности,звонки мошенников,neutral,797.4
"Мы должны убить мужчин и тд., потому что это край пиздеца☠ Девочки urgent удалите все свои фотки с соц сетей! И перестаньте общаться с особями пенисной характеристики! Сейчас без шуток, мужики сделали нейросети которые генерируют вас голыми и анимируют🤬 Это значит что вас смогут сгенерировать в видео сосущими 2 чёрных члена ультра реалистично, а потом дрочить на вас и рассылать в инете... И это не просто фейс свап, а вы😢 И если вы думаете, что вас не коснется вы ошибаетесь, это сейчас ультра популярно среди мэнов. Ебаный мир, пока женщины делают ии для спасения экологии, развития и улучшения жизни, мужло только развлекают свой микрочлен 🚩",mental_health,,утечка данных и домогательства,negative,628.4
"Я впервые в жизни столкнулась с раком(болезнью).Родной старший брат мамы болеет раком горла(гортани) я точно не знаю потому что нам ничего не говорят но today мама показала мне его состояние и это было ужасно,мне прям плохо стало. По состоянию кажется это последняя стадия. Его горло прям гниет и он уже не может разговаривать и ему уже трудно дается пить и есть. Я подозреваю ему недолго осталось и скоро мама лишиться и брата.У него 4 детей,не знаю что с ними станет после его смерти.Я думаю и он сам знает что ему недолго осталось.Интересно что же чувствует человек перед смертью?Берегите свое здоровье пожалуйста.",mental_health,,болезнь близкого человека,negative,594.0
Я знаю что в эйч блоке в мужском туалете есть дырка откуда можно подглядывать на женский туалет,infrastructure,Общежитие,дырка в туалете,negative,592.4
"today у друга в 230 чуть не украли телефон ( вор уже вытащил телефон с кармана друга, но он заметил и вор резко выкинул телефон на землю) предполагаемый вор сел в автобус в алтын ауыле, будьте осторожны",other,Служба безопасности,кража телефона,negative,572.6
а вы знаете как легко занести камеру в женский туалет в H блоке?) а я вот знаю,other,Служба безопасности,нарушение приватности,neutral,547.2
Шшсгин универде не сеть устамайды не вайфай дурыс ыстемейды чзхня,infrastructure,IT департамент,нет сети и вайфая,negative,538.2
"Достар может массово заявление напишем про пропажу телефонов как то соберемся что ли те кто пострадали, примерный маршрут обычно где он ворует и описание вора у нас есть же, вроде у всех один и тот же чел крадет какой то длинный 185-190см таджик чтоли темный+рыжий немного, задержать же должны если по камерам пруфы найдут, если помните какой автобус и примерное время кражи",other,Служба безопасности,серийная кража телефонов,negative,537.2
"today был мой первый день в универе. Я ненавижу это. Моя жизнь это нескончаемая петля страдания, стыда, самобичевания и ненависти. Я чувствую что не продежусь так до конца семестра. Ощущение как будто бог наказывает меня за грехи в прошлой жизни. Я не могу попросить о помощи из за того кем я являюсь, я не заслуживаю её. Я не хочу быть собой. Я не хочу быть.",mental_health,,душевные страдания,negative,533.0
ПОЧЕМУ МУДЛ НЕ РАБОТАЕТ У МЕНЯ ТАМ АССАЙНМЕНТ НА 20 БАЛЛОВ НАДО ВНЕДРИТЬ ДО 18:00 deadline,infrastructure,IT департамент,недоступен для сдачи задания,negative,532.8
"ситуация такая: today какой-то левый аккаунт пишет скидывает мне дикпик. потом еще один. и потом кто то пишет что вот твой брат сидит в анонимной рулетке и пишет рандомным людям скинуть тебе дикпики. но это точно не мой брат. кто то сидит притворяется моим братом и говорит мол: ""у меня фетиш такой представлять как мою сестру ебут и я хочу чтобы люди скидывали ей члены и присылали мне её реакцию"". и манера письма как у ненормального шизофреника мне дали юз этого чела но когда я ему написала кто он и нахуя он это делает он просто удалил переписку. я хз что в этой ситуации делать, забить хуй, принимать какие-то действия, мб у кого то зуб на меня наточен. вроде нет таких людей",mental_health,,харассмент и фейковый аккаунт,negative,518.0
Н блок 3 этаж кым понос кып тышып кеткен бляя коттерын геморой боп тусып калсын жуатын апайларга обал емес па еще унитаздын сыртына го иысы буквл дуниены алып,dorms,Общежитие,антисанитария,pending_llm,487.2
