id,message_id,message_clean,language,sentiment_label,sentiment_score,sentiment_source,word_count,virality_score
7,11,Легенды sdu давайте навалим шума своими историями или вопросами. А то контента мало в сду!!!,ru,neutral,0.6935,rubert-tiny2,15,220.6
8,12,Қыздар сендерге сұрақ қойайынщы қызық ол просто ойларыңды білейін дегем😄мысалы сендерде екі шанс болса бірі түрі нормольно жұмысы сауда және таксовать етеді ал екіншісі түрі орта но ол мұғалім болса информатикадан қайысын таңдаушы едіңдер 😄😄😄қызық өзіме не анон: [USER],kk,positive,0.6124,rembert-issai,39,202.6
10,14,Есть тут кто пойдет на концерт капсайз?,ru,neutral,0.9396,rubert-tiny2,7,191.4
11,15,перваши зачем сюда поступали? думаете вам этот university что-то даст?,ru,neutral,0.7405,rubert-tiny2,10,133.4
12,16,что среди первашей-вторашей нет кто смог бы навалить шума как мы в свое время?,ru,neutral,0.6662,rubert-tiny2,14,121.8
13,17,кто помнит про дх? перваши втораши они все еще есть в жаташке?,ru,neutral,0.6828,rubert-tiny2,12,240.6
15,20,ойландарш она 10 из 10 но она маленький темный принц,ru,neutral,0.7031,rubert-tiny2,10,230.0
16,22,"Я хочу найти парня, 190+ брюнета, накаченного)) отпишитесь в комментах",ru,positive,0.7399,rubert-tiny2,10,159.6
17,23,Қыз іздим Тфл Ретейксіз Не активистка,kk,negative,0.6894,rembert-issai,6,207.2
18,24,кым кандай сабакта отыр,other,pending_llm,0.0,llm_queue,4,102.2
19,25,"Ищу милфу, 19 лет, хочу найти с квартирой и машиной. Критерии: чтоб была красивой и ухаживала за мной",ru,neutral,0.7499,rubert-tiny2,18,119.6
20,26,на 100 подписчиков будет розыгрыш,ru,neutral,0.7604,rubert-tiny2,5,100.8
21,27,"хочу сдать айлтс, есть кто в компанию хочет готовиться? планирую примерно в декабре.",ru,neutral,0.7988,rubert-tiny2,13,130.8
22,28,а вы знаете как легко занести камеру в женский туалет в H блоке?) а я вот знаю,ru,neutral,0.9201,rubert-tiny2,17,547.2
23,29,С какими целями вы зашли в эту группу?,ru,neutral,0.9027,rubert-tiny2,8,103.0
24,30,дормнан ул бала керек желательно бш кешке скучно маган журииип келуге 💅🏻,kk,positive,0.5676,rembert-issai,12,150.2
25,31,хочу отправить свой дикпик своей одногрупнице но боюсь это делать,ru,neutral,0.5006,rubert-tiny2,10,222.6
28,34,в sdu есть фембои? очень интересно🤔,ru,neutral,0.8836,rubert-tiny2,6,410.8
29,35,Достар дайте ссылку на чат социологии,ru,neutral,0.9354,rubert-tiny2,6,104.6
30,36,Ақнұр есімді қызды іздеймін аманат обшягада тұрады 9 30дарда апорттан қайтқан,kk,positive,0.68,rembert-issai,11,317.6
32,38,Я знаю что в эйч блоке в мужском туалете есть дырка откуда можно подглядывать на женский туалет,ru,negative,0.5118,rubert-tiny2,17,592.4
33,39,вам так нравится смотреть как кто то срет?🤢,ru,neutral,0.5849,rubert-tiny2,8,264.6
34,40,Вы бы играли на майнкрафт сервере СДУ? 👀👀,ru,neutral,0.9096,rubert-tiny2,8,235.4
35,41,Амина из ТФЛ отинем катыным болшы🥹,other,pending_llm,0.0,llm_queue,6,130.8
36,42,"го в майн ребят, кто возьмет инициативу admin: Я могу забашлять за хост и все настройки",ru,neutral,0.7627,rubert-tiny2,16,126.2
38,44,Вам реально нравиться играть в кубики?🤢🤢 admin: рейдж байт 2/10,ru,neutral,0.8423,rubert-tiny2,10,78.4
39,45,Мухтар ты моя сучччььькккаа…),ru,positive,0.6649,rubert-tiny2,4,231.4
40,46,"Работать или строить отношения? (Оч сильно хочу отношения, но без работы не будет деняк) И да не могу совмещать(",ru,neutral,0.7819,rubert-tiny2,19,166.0
42,48,Why don't you write in Kazakh?,en,pending_llm,0.0,llm_queue,6,152.2
43,49,Спелбейт или Арбалет?,ru,neutral,0.9038,rubert-tiny2,3,134.2
44,50,"почему в бш такие красотки, а в инженерки нет?",ru,neutral,0.8478,rubert-tiny2,9,129.0
45,51,Любого разнесу в армреслинге приходите в sdu,ru,neutral,0.7324,rubert-tiny2,7,81.8
47,55,Мухтар еще не видел красивых мальчиков в sdu,ru,neutral,0.8552,rubert-tiny2,8,81.8
48,56,кто самый популярный шестераш в сду?,ru,neutral,0.9035,rubert-tiny2,6,82.4
52,60,Все кто анонимно поносят когото - слабые,ru,neutral,0.7357,rubert-tiny2,7,322.4
53,61,admin: Вот так выглядит бот для модерации,ru,neutral,0.891,rubert-tiny2,7,302.2
54,62,"че вы кицунэ хуесосите, хорошая же она",ru,neutral,0.4941,rubert-tiny2,7,169.6
55,63,"как же чел сверху про дефолт девушек фактит, что обиделись то",ru,negative,0.5294,rubert-tiny2,11,127.8
56,64,Кс сила калганы терпила,ru,neutral,0.561,rubert-tiny2,4,86.6
58,66,Как друзей найти😔,ru,neutral,0.6576,rubert-tiny2,3,71.4
59,67,"поносить других анонимно капец как смело, ммм",ru,neutral,0.742,rubert-tiny2,7,85.0
61,69,отчисляться на 3 курсе normal или стрем,ru,neutral,0.8782,rubert-tiny2,7,65.6
62,70,Мастхэв для тех кто носит обувь,ru,neutral,0.9181,rubert-tiny2,6,163.2
63,71,Че там реал кайрат кым барады,ru,neutral,0.5598,rubert-tiny2,6,68.6
64,72,"Чет не отправилось сразу 2 фотки, вот еще, а то в ногах ядерное месиво будет особенно после дождей",ru,neutral,0.6432,rubert-tiny2,18,130.0
66,74,Чувак сверху сам понял что высрал?,ru,neutral,0.9078,rubert-tiny2,6,65.0
68,76,"был принят новый закон в этом году, что если файнал написать на <50, то автоматом ретейк, даже если фулл префка, я в ахуе братья admin: дизинфа или это правда?",ru,neutral,0.6256,rubert-tiny2,29,166.4
69,77,[URL] это только на фенс,ru,neutral,0.8794,rubert-tiny2,5,153.4
70,78,"A Quality Committee has been established in the FENS, and its first meeting took place this week. Moving forward, the committee will oversee the quality and timely delivery of education within the faculty. One of the key decisions made during the first meeting is that if a student scores less than 50% on the final exam, they will fail the course, regardless of achieving 100% in the pre-final assessment.",en,pending_llm,0.0,llm_queue,69,280.8
71,79,"все что можете ответить это обиделся или бросили тебя пзпххахв, примите прост этот факт, сложно да правду принять",ru,neutral,0.6422,rubert-tiny2,18,62.4
72,80,"жарты казакстан программист,биреу барма компта шарить ететин жигиттер кыздар",ru,neutral,0.7279,rubert-tiny2,9,63.4
74,82,"Я работаю, учусь на 4 курсе, зарабатываю деньги. Ищу девушку желательно не айти",ru,neutral,0.4933,rubert-tiny2,13,115.6
75,83,"admin: еще 10 подписок на канале и будет розыгрыш real admin: Да кстати, нас уже 90!!",ru,neutral,0.789,rubert-tiny2,16,100.2
77,85,"Я 4 курсник, работаю и получаю 600К Ищу девушку, без разницы с какими характеристиками",ru,positive,0.7008,rubert-tiny2,14,153.6
78,86,Админ болайнш admin: могу на 500 участников сделать конкурс на админа,ru,neutral,0.7519,rubert-tiny2,11,73.4
79,87,"ищу девушку, пол не важен",ru,neutral,0.9053,rubert-tiny2,5,80.0
80,88,Ищу девушку пишите в комментарии я отберу самых лучших,ru,neutral,0.646,rubert-tiny2,9,215.6
82,90,"Менде калыспайын. Ищу парня, рост от 185🙄",ru,neutral,0.8058,rubert-tiny2,7,102.4
83,91,Кто в бравл старс,ru,neutral,0.6476,rubert-tiny2,4,67.2
84,92,"балмуздак керек, буду милфой! желательно бойы 160, салмагы 100кг, прыщавый анимешник болса карманные деньги каждый день (плюс зарплата за то что ты со мной)",mixed_kk_ru,pending_llm,0.0,llm_queue,24,128.8
85,93,лучше в клэш рояль),ru,neutral,0.5858,rubert-tiny2,4,78.6
87,95,Ищу парня рост 170+ и светлый болса🥰😆,ru,positive,0.5467,rubert-tiny2,7,81.6
88,96,"Реальный сурак, шын омырде вы подходили знакомится или к вам подходили когда то?",ru,neutral,0.7917,rubert-tiny2,13,239.0
89,97,к вам подходили знакомиться именно в sdu ?,ru,neutral,0.9584,rubert-tiny2,8,73.6
90,98,"люди которые не играют компьютерные игры, задумайтесь зачем вы живете",ru,neutral,0.8954,rubert-tiny2,10,73.2
91,99,Винда или Мак или Линукс? И еще почему?,ru,neutral,0.8972,rubert-tiny2,8,116.8
92,100,"Я потеряла девственность в 14, нет меня не насиловали и я не ш, все было согласованно и с любимым человеком, normal или стрем?",ru,negative,0.6264,rubert-tiny2,23,203.0
93,101,добиваться девушки стрем или normal,ru,neutral,0.8992,rubert-tiny2,5,115.6
94,102,сильно жду 25 летие ведь тогда мозг полностью созреет и начнет лучше принимать решения. Что думаете про созревание префронтальной коры?,ru,neutral,0.8089,rubert-tiny2,20,115.8
95,103,в чем прикол когда тебя трахают?,ru,neutral,0.7777,rubert-tiny2,6,136.4
96,104,"Кто вообще станет встречаться с девушкой которая весит БОЛЬШЕ чем ты хахаха, это же такое неуважение к себе",ru,negative,0.6082,rubert-tiny2,18,117.4
98,107,"Признавайтесь, кто остаётся на 5 курс из-за ретаков?)",ru,neutral,0.9348,rubert-tiny2,8,67.0
99,108,есть кто слушает фладу? кидайте любимые песни,ru,neutral,0.7683,rubert-tiny2,7,66.4
100,109,"всем привет, у меня геморой, и об этом случайно узнала девушка на первом свидании, что делать",ru,neutral,0.628,rubert-tiny2,16,117.4
101,110,труфаны капсайза сюда,ru,neutral,0.6635,rubert-tiny2,3,179.0
102,111,Кайрат реал прогноз?,ru,neutral,0.9175,rubert-tiny2,3,70.0
106,115,"а куда лучше кончать, в ротик, на лицо или на животик, ну в крайнем случае на спину",ru,neutral,0.6306,rubert-tiny2,17,132.4
107,116,"кароч примерно 2 саг бурын маган биреу 1,5 млн жиберди, сосын тагы баска биреу 600к жиберди. ешким жазбады кайтар деп чзх😃",other,pending_llm,0.0,llm_queue,21,84.0
108,117,"Господь , дай мне альтушку , чтобы няшиться на бочках , чтобы вместе сидеть и делать домашку",ru,neutral,0.6921,rubert-tiny2,17,149.6
109,118,первокурсниктарга стипендия кашан түседі и оны сразу жаратып тастау normal ба?,kk,positive,0.5651,rembert-issai,11,84.6
111,120,"Господь, дай мне высокого умного uglyhot парня с ямочками 😪😪",ru,positive,0.4724,rubert-tiny2,10,99.0
112,121,"Где конкурс админ?! admin: будет, пока думаю что сделать идеи пишите в коммы",ru,neutral,0.9055,rubert-tiny2,13,149.4
113,122,Hi (sorry for bad english),en,pending_llm,0.0,llm_queue,5,102.0
114,123,"Бож мне так нравится Нурмухаммед из 1 курса кс😩😩. Я хочу ему признаться, но он мейнер инвокера и скорее всего любит мужчин",ru,positive,0.6709,rubert-tiny2,22,88.2
117,126,"парни, быть каблуком это достижение",ru,positive,0.5043,rubert-tiny2,5,146.6
118,127,кто то хочет tomorrow с утра в горы? мб на букреева. ТАК УСТАЛА ДОМА СИДЕТЬ.,ru,neutral,0.6913,rubert-tiny2,15,107.2
119,128,"бляяять я в ахуе с логики парней, вежливо общается=дала шанс, очнитесь пж оно не так работает😔",ru,negative,0.448,rubert-tiny2,16,139.8
120,129,"Хз кому будет интересно но вот история. Понравился мне один парень в прошлом курсе, его стиль, рост, кудряшки, очки, кнч он был айтишником. Я ему написала и мы вышли гулять. В целом вышло норм, и спустя время вышли гулять еще раз. Мы жили рядышком к друг другу, в общем вышли три или четыре раза. Потом я ему призналась. Такой я человек что не умею хранить чувства до конца, не хочу ждать МЕСЯЦА чтобы потом получить отказ. К отказу я была готова, но знаете что он ответил? «Ты мне тоже». И БЛЯТЬ, все бы ничего но я была так счастлива. Я даже помню что мы тогда пешком шли в кииз и я тогда покраснела. дальше мы потихоньку перестали общаться и видеться, единственное огонек в тиктоке сохранили до 40 дней. и потом выясняется чтоо он нашел девушку. и теперь вопрос: нахуя отвечать взаимностью?",ru,neutral,0.4765,rubert-tiny2,141,237.0
